MessageNumber	DiagnosisTypes	Timestamp	TimeElapsed	Source	Destination	Module	Summary	Fid_UsbDevice	Fid_URB_TransferData	Fid_UCX_URB_BULK_OR_INTERRUPT_TRANSFER.Fid_URB_TransferFlags	Fid_UCX_URB_BULK_OR_INTERRUPT_TRANSFER.Fid_URB_TransferBufferLength
18633	None	2016-01-09T15:41:57.7109867				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18635	None	2016-01-09T15:41:57.7119945				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,13]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18637	None	2016-01-09T15:41:57.7129946				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,96]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18639	None	2016-01-09T15:41:57.7139959				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,88]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18641	None	2016-01-09T15:41:57.7149154				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18643	None	2016-01-09T15:41:57.7169972				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,3]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18645	None	2016-01-09T15:41:57.7180010				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,19]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18647	None	2016-01-09T15:41:57.7189986				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,144]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18649	None	2016-01-09T15:41:57.7198964				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,20]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18651	None	2016-01-09T15:41:57.7209896				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18653	None	2016-01-09T15:41:57.7220008				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,4]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18655	None	2016-01-09T15:41:57.7228945				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18657	None	2016-01-09T15:41:57.7238945				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18659	None	2016-01-09T15:41:57.7249340				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,113]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18661	None	2016-01-09T15:41:57.7259993				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,128]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18663	None	2016-01-09T15:41:57.7270022				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,13]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18665	None	2016-01-09T15:41:57.7279945				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,10]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18667	None	2016-01-09T15:41:58.2129823				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18669	None	2016-01-09T15:41:58.2138904				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,13]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
